keywords,year,_medizin,_personen,_tiere,_objekte,_ethngrp,_messungen,_geo,_pflanzen,_gestminer,_zitate,_einheiten,_lawihw,_zeichnungen,id,_text
"Lavra, Thonstein, Gesteine/Minerale, Raseneisenstein, Geographische Angaben, Tatu, Basalt, Ameisen, Geschiebe von Wacke, Basalt, Alaun, Kiesel, Kieselbrocken, porhyrartigem, porphyrartigem Basalt, Objekte, Steinmark,  Tupancyreta  Tupanciretã, Basaltgebirge, Wacke, Tiere, Conglomerat, basaltartige kuglig abgesonderte Wacke, Eisenthon, Kieselgerölle",1826,,,"Tatu, Ameisen",Lavra,,, Tupancyreta  Tupanciretã,,"Alaun, Wacke, Basaltgebirge, Thonstein, Kiesel, Basalt, Kieselbrocken, porhyrartigem, Conglomerat, Raseneisenstein, porphyrartigem Basalt, Steinmark, basaltartige kuglig abgesonderte Wacke, Kieselgerölle, Eisenthon, Geschiebe von Wacke, Basalt",,,,,ZM_S_I_Sellow_Exk_07_05_r__2475,"welcher hier überall auf der Höhe, abgebrochen, anzustehen scheint. Niedriger sah ich ziemlich feste basaltartige kuglig abgesonderte Wacke (1373) anstehen. Der Bach bei der sogenannten Lavra führte Geschiebe von Wacke, Basalt und porhyrartigem[,] sehr festen Thonstein und viel Kieselbrocken. Am rechten Abhange des Bachs fand ich den Berg 30 Fuß tief aufgegraben und die Grube mit 20 Schr[ritt] Durchmess[er][,] vom Bache her hatte man Wasser in die Grube geleitet, und derselben einen Abzug wieder tiefer nach dem Bache hin gegraben. Zu oberst liegt hier ½ – 1 bis 1 ½ Fuß tief Kieselgerölle[.] An Stellen ist dasselbe durch Eisenthon zu einem Conglomerat (1374) verbunden, an Stellen liegt selbst sandiger Raseneisenstein (1375), oft löchrig, dann folgt sandiger Thon voll Steinmark mit Alaun ? und so, netzartig, von Kiesel durchwoben[,] daß die ganze Thonmasse aus mehr od[er] weniger sich härende Theile zusammengesetzt (1376) scheint. Das Steinmark ?[,] welches sich in schwächeren oder stärkeren Adern oder in großen oder kleinen Körnern zusammengehäuft zeigt, hat einen säuerlichen zusammenziehenden Geschmack od[er] scheint reich an Alaun. Diese Formation gehört augenscheinlich dem Basaltgebirge an, und scheint weit verbreitet und mit Wacke oder {Am Bach Geschiebe von porphyrartigem Basalt. 1377.} Basalt abzuwechseln. Ein heftiges Gewitter[,] welches herauf kam[,] hinderte mich[,] in der Gegend mich weiter umzusehen und zwang mich[,] [zu] der Est[anci]a zurückzukehren. Von hier nach St Maria rechnet man 9 L[egoa][,] auf einem andern Wege 11. Ich kehrte in der Dunkelheit zu meinen Leuten nach Tupancyreta zurück, wiewohl diese Wege hier wegen sehr tiefer Tatulöcher in der Nacht schlimm zu bereisen sind. Dergleichen Löcher[,] welche ihren Ursprung zum Theil auch Ameisen verdanken und gleich 3 – 4 Fuß tief sind[,] finden sich hier sehr häufig."
"Capão, Tupacyreta, Gesteine/Minerale, St Pedro, Personen, Geographische Angaben, Landwirtschaft und Handwerk, Indier, Maßeinheiten, Maria da Carcessão, Ethnien/Gruppen, Tupacyreta,   Conceição, Carralho,  Sesmaria , Objekte, Tupancyreta, Pfirsigbäumen, St João, Joaquim Luiz, sandig, Durasnal grande, Pfirsig, José Joaquim de Carralho, Campo",1826,,"Carralho, José Joaquim de Carralho, Joaquim Luiz,   Conceição",,"Capão, Durasnal grande, Campo, Maria da Carcessão",Indier,,"Tupacyreta, St Pedro, Tupancyreta, Tupacyreta, St João",,sandig,, Sesmaria ,"Pfirsig, Pfirsigbäumen",,ZM_S_I_Sellow_Exk_07_05_v__2476,"Ich setzte meinen Marsch früh fort. Der Boden ist ziemlich sandig, stellenweise schwarz und dort das Gras meistens fein; viele kleine Lachen[,] welche[,] da es geregnet hatte[,] wasserreich waren[,] sieht man hierherum. Das Campo vom Tup[ancyret]a soll kaum ein begreifen. ¾ L[egoa] von Tup[ancyret]a führt der Weg an einem gleich hohen Capão mit Pfirsigbäumen vorüber[,] welcher mit dem Namen Durasnal gr[an]de bezeichnet wird. Die Pfirsig blühten bereits hier voll. Nicht weit davon z[ur] R[echten] 1/8 L[egoa] ungefähr entfernt zeigte sich eine Wohnung[,] wo ein Indier leben soll. Nach Zurücklegung von 2 ½ L[egoa] kam ich an der Est[anci]a eines Joaq[ui]m Luiz vorüber. Wo gute Zwinger und ein mit Stroh gedecktes kleines Haus steht in der Nähe eines Capão. Gehölz ist übrigens in dieser Gegend selten. Eine kl[eine] L[egoa] weiter ließ ich die Est[anci]a da z[ur] R[echten] mit einer schlechten Strohhütte. Dieses Campo[,] welches so gut als das von Tupacyreta gehalten wird[,] ja noch besser[,] gehört an St João, wird aber auch nicht benutzt. Auch hier ist der Boden stark mit feinem Sand gemengt und daher die Güte des Campo. Ich gelangte bei guter Zeit auf die Est[anci]a von José Joaq[ui]m de Carralho an, wo ich blieb[,] um so lieber[,] als ich von demselben freundlich eingeladen wurde. Sie liegt circa 4 L[egoa] von Tupacyreta. Ich fand hier die Gastfreiheit der besten Gegenden der Provinz von St Pedro. Carralho[,] als er meine Truppe ankommen sah, ließ sogleich eine Kuh schlachten[,] damit alle reichlich haben möchten. Sein Haus war nur klein und wie einige dabei stehende Hütten mit Stroh gedeckt[,] allein reinlich und gut unterhalten. Eine alte Figur der Mutter Maria da Carcessão wurde in Ehren gehalten. Sie stand auf einem mit Tüchern behangenen Tische in einem Schrein, wo Alf[ons]o Marquez sagte[,] es gebe mehr."
"Angostinho Suarez, Estancia de St Roque, Carralho, Capãos, Venda, Personen, Geographische Angaben, João José de Barras, Capella do Espírito Santo, Objekte, St Paulo,  Cruz alta Cruz Alta ",1826,,"Carralho, Angostinho Suarez, João José de Barras",,"Capãos, Venda",,,"Estancia de St Roque, Capella do Espírito Santo, St Paulo,  Cruz alta Cruz Alta ",,,,,,,ZM_S_I_Sellow_Exk_07_06_r__2477,"sich noch andere kleinere Heiligenbilder befanden. Sie stammten noch von den Jesuiten her, wie eine Figur des St Pedro[,] welche ich im Zimmer bei Ang[ostinh]o Suarez sah. Sie stand früher in einer alten Capelle in der Nachbarschaft, bis sie dort von einem Deserteur gestohlen, ihm aber glücklich wieder abgejagt worden war. Seitdem wird sie hier bewahrt. Man scheint im Allgemeinen in dieser Gegend religiöser als unten in der Provinz von St Pedro. Von Carralho bis Cruz alta oder Est[anci]a de St Roque[,] wie der Punkt früher hieß[,] hat man ungefähr 2 ½ L[egoa]. Sie bleibt rechts vom Wege circa 3000 Schrite entfernt und es steht dort ein einzelnes Haus, vor demselben ein hohes, von den Jesuiten herstammendes Kreuz, woher der Name. In der Nähe liegen einige kl[eine] Häuser zerstreut, jetzt verlassen[,] woran der gegenwärtige Krieg schuld ist. In der Gegend hier sieht man viele kleine Wäldchen, welche zu Niederlassungen einladen. Das Niveau des Bodens bleibt sich im Allgemeinen gleich. Bald aber zeigt er sich weniger sandig. 1 ½ L[egoa] weiter[,] eine kleine achtel L[egoa] von der Fahrstraße z[ur] L[inken][,] besuchte ich die Capella do Esp[íri]to Santo auf einem kleinen Hügel in der Nähe eines ansehnlichen Capãos gelegen und 15 Feuerstellen dabei, Capelle und Häuser mit Stroh gedeckt und klein. Nur zwei Einwohner waren anwesend[,] wovon der eine eine Venda hielt, wo Brandwein, Zwieback, Maismehl Zucker Tabak zu haben waren. Er klagte[,] daß durch den Krieg alle Ansiedler verscheucht worden waren und daß gegenwärtig nur Armuth und Elend herrsche. Ich setzte meinen Marsch sogleich fort und erreichte mit einbrechender Nacht die Est[anci]a des Cap[ita]m João José de Barras[,] eines freundlichen 70jährigen aus St Paulo herstammenden Männchens[,]"
"Campos, Rio Negro, Uruguay, Butucarai, Rio grande, St Paolo, Zuckerrohr, Minas, Tiere, Geographische Angaben, Chinapodium quinoa, Zucker gebende Pflanzen, Runkelrüben, St  Martinho, Landwirtschaft und Handwerk, Objekte, Stechfliegen, Campo, Pflanzen",1826,,,Stechfliegen,"Campos, Campo",,,"Rio Negro, Uruguay, Butucarai, Rio grande, Minas, St  Martinho, St Paolo",Chinapodium quinoa,,,,"Zuckerrohr, Zucker gebende Pflanzen, Runkelrüben",,ZM_S_I_Sellow_Exk_07_06_v__2478,"von welchem ich sehr gut aufgenommen wurde. Er sein Bruder[,] welcher in der Nachbarschaft wohnt[,] gehören zu den ältesten Einwohnern der Gegend. Er lobte dieselbe überaus. Kein Theil von Brasilien[,] weder Minas noch St Paolo noch Rio grande[,] hatten ihm wie dieser Landstrich gefallen. Es scheint[,] daß die Gegend für den Ackerbau ginstig ist, da selbst Baumwolle und Zuckerrohr, besonders aber Tabak gebaut werden kann, dagegen die ausgedehnten Campas zur Viehzucht nur schlecht sind. Man muß dem Vieh Salz geben, und trotzdem fallen Krankheiten vor, die es wegraffen, besonders Vieh[,] welches von den vorzüglicheren Weiden z. B. vom Rio Negro oder vom Uruguay hier her versetzt würde[.] Dazu sind die Stechfliegen im Sommer überaus häufig, und lassen dem Vieh keinen Augenblick Ruhe und in die geringste Wunde setzen sich gleich Maden an[,] weswegen die größte Wachsamkeit nöthig wird. Gewöhnlich ist das Vieh daher im Sommer mager und erscheint erst gegen Ende des Winters besser genährt, gerade umgekehrt wie unten. Indessen würde man bemerkt haben[,] daß die Campo nach und nach[,] wenn Vieh darauf geht[,] besser werden, daß sich kriechende Gräser ansiedeln[,] welche besseres Futter abgeben[.] Durch das häufige Absengen der Campo wird das Fliegenheer auch jährlich vermindert[.] Man versichert auch[,] daß zur Jesuiten-Zeit diese Campos gut gewesen sein sollen. Man müßte auf Mittel denken[,] das Salz wohlfeil hier herauf schaffen zu können[,] z.B. durch Verbesserung der Wege. Der Weg am Butucarai hinab soll viel schlechter sein als der von St Martinho und daher nur selten gebraucht werden. Durch Zucker gebende Pflanzen[,] Runkelrüben z.B. oder selbst durch Zuckerrohr[,] ließ sich vielleicht Salz ersparen, wahrscheinlich auch durch Soda gebende Chinapodium quinoa andere."
"Capão, Pteris, Gesteine/Minerale, João José, St Martinho, Personen, Geographische Angaben, Spanier, Antonio José,  Ceibo Erythrina crista-galli, Sand, Ethnien/Gruppen, Joaquim Thomas da Sylva Prado, Jacuy, Caraya Alouatta caraya, Wacke Basalt, Objekte, Arroyo do Lages, Mandelstein, Pflanzen, Basalts, Antonio João de Barras, Guarda de S Antonio, Cuchilha Cuchilla, Campo",1826,,"Antonio João de Barras, Antonio José, Guarda de S Antonio, João José, Joaquim Thomas da Sylva Prado",,"Capão, Cuchilha Cuchilla, Campo",Spanier,,"St Martinho, Jacuy, Arroyo do Lages"," Ceibo Erythrina crista-galli, Pteris, Caraya Alouatta caraya","Basalts, Wacke Basalt, Sand, Mandelstein",,,,,ZM_S_I_Sellow_Exk_07_07_r__2479,"24 Aug. Ich verließ den guten alten João José, da das Wetter sich gebessert hatte und beständig zu werden schien. Man reist auf der Cuchilha weiter. Der Boden ist im Allgemeinen mit etwas weniger röthlichem Sand gemengt[.] Bald läßt man die Est[anci]a von Ant[oni]o João de Barras z[ur] R[echten] in geringer Entfernung von der Straße. Auch hier alle Häuser mit Stroh gedeckt. Allein der Cap[ita]m Joaq[ui]m Thomas da Sylva Prado besitzt mit Ziegel gedeckte Häuser in diesem District. Im District von St Martinho ist man in dieser Hinsicht bereits besser vorgerückt. Kleine Wäldchen zeigen sich nicht selten in der Gegend und die Abzüge von der Grate[,] welche zu beiden Seiten abfallen[,] entspringen häufig in kesselförmigen Vertiefungen, welche nicht selten etwas Sumpf[,] zuweilen selbst Wasser enthalten. Man hat übrigens äußerst selten Gelegenheit[,] den Lauf der kleinen Bäche weit verfolgen [zu können] mit dem Auge, weil die höchsten Punkte der Hauptgrate keinesweges höher sind[,] als die höchsten Punkte des zwischen den Bächen inne liegenden Landes. Wo die Waldung häufiger wird[,] scheint sich auch die Pteris auf dem Campo zu mehren. Diese sieht man selten über 2 Fuß hoch. Circa 1 L[egoa] von Ant[oni]o José ließ ich eine Wohnung z[ur] R[echten] und einen kleinen Kirchhof z[ur] L[inken] liegen. Hier soll vor Zeiten die Guarda de S Ant[oni]o von Seiten der Spanier gestanden haben. Die Straße läuft in vielen Krümmungen hin. Nach 2 L[egoa] von João José verläßt man die Grate auf einer Straße und kommt durch den Ar[roy]o do Lages[,] welcher 3 – 4 L[egoa] weiter unten sich in den Jacuy ergießt. An seinem linken Ufer hat er einen großen Capão[,] welcher einen etwas erhabenen schmalen Rücken einnimmt. Im Thal hier liegen mehrere kleine Wohnungen zestreut, in geringer Entfernung von einander. Am Bache[,] dessen Ufer bebuscht sind und wo Caraya und vorkommen[,] liegt auf Wacke Basalt und auf diesen blasiger Mandelstein. Die unterste Schicht des Basalts ist fast 1778. 1779. 1780"
"Gärten, Gesteine/Minerale, Atanagildo, Deputirten des Commandanten, Silvestre   José de Pontes, Personen, Geographische Angaben, Lehmen, Landwirtschaft und Handwerk, Cruz alta, Paulisten, Sand, Ethnien/Gruppen, Ackerbau, Continentisten, Pflanzen, Ipé, Cabemeuna, Angiro, Laurus, Taruma Citharexylum myrianthum,, Jiribastämmen errichteten Gehege, Laguão",1826,,"Atanagildo, Silvestre   José de Pontes",,,"Continentisten, Paulisten, Deputirten des Commandanten",,"Cruz alta, Laguão","Ipé, Cabemeuna, Angiro, Laurus, Taruma Citharexylum myrianthum,","Sand, Lehmen",,,"Gärten, Ackerbau, Jiribastämmen errichteten Gehege",,ZM_S_I_Sellow_Exk_07_07_v__2480,"söhlig und sondert sich unvollkommen schiefrig ab[,] die oberste, kugelig mit concentrischen Schalen. Obenauf liegt Lehmen und auf den höchsten Punkten ist er mit Sand gemengt. Ich traf hier den Deputirten des Commandanten[,] welcher eine L[egoa] von hier auf der Straße weiter wohnt und mich einlud[,] bei ihm zu übernachten, da ich die Est[anci]a des Major Atanagildo nicht mehr würde erreichen können[,] welche Einladung ich annahm. Stellenweise ist der Boden bald mehr bald weniger mit Sand gemengt[.] Zuweilen zieht sich letzterer ganz zurück[.] Die Gegend ist reicher an Wald als die Nachbarschaft von Cruz alta. Auch hinter Laguão sahe ich noch mehrere Häuser am Wege. Das Haus meines Wirths S[eñor] Silvestre José de Pontes lag auf einer Höhe[,] welche ein großes Stück Land rundum beher[r]schte, wogegen die meisten Häuser[,] welche ich bisher im District sahe[,] in Thälern an Abhängen oder in Vertiefungen im Schutz von Hügeln liegen[.] Dieses ist der Geschmack der Paulisten (Ackerbau)[,] jenes der Geschmack der Continentisten (Gärten)[.] Es war sorgfältig aufgebaut und noch neu, aber überall vermißt man hier den Sinn für bequeme Einrichtung[.] So war zum Beispiel in dem aus Jiribastämmen errichteten Gehege vor dem Hause keine Oeffnung zum Durchgehen, man mußte unten durchkriechen, im Hauptzimmer war kein Fenster, das Licht gelangte durch eine Thür in der Mitte der Wand hinein; und wenn Südwind wehte, mußte man darin entweder den Wind aushalten oder im Finsteren sitzen. Der Hof[,] in dessen Mitte eine Hütte stand[,] war mit starken Baumstämmen von Ipé, Cabemeuna, Angiro, , Taruma , abgehegt, so daß man sich darin leicht vertheidigen konnte. Die Stämme hatten 6 – 8 Fuß Höhe. Zur Linken und Rechten vom Hause entsprangen Bäche, von demselben aus bis zu den sumpfigen Stellen waren Gräben und Gehege gezogen, wodurch ein großes Stück Campo abgesondert"
"Silvestre, Gesteine/Minerale, Atanagildo, Bohnen mit Speck und Kohl vor Canjica  Maisbrei und Milch., Personen, Atanagildo, Geographische Angaben, Cruzados, Landwirtschaft und Handwerk, Paulisten, Maßeinheiten, Araucarien, Capoeiras, Ethnien/Gruppen, Vieh, Maulthierhändler (Troppeiros, Curitibaner, Alfonso  Madrigues Telos Martins, Objekte, Vila de Castro, Pflanzen, Capaõs, Porongos, sandig, Estancia de Santa Barbara, Sumarim, Campo",1826,,"Alfonso  Madrigues Telos Martins, Silvestre, Atanagildo, Atanagildo",,"Capaõs, Capoeiras, Sumarim, Campo","Maulthierhändler (Troppeiros, Paulisten, Curitibaner",,"Estancia de Santa Barbara, Porongos, Vila de Castro",Araucarien,sandig,,Cruzados,"Vieh, Bohnen mit Speck und Kohl vor Canjica  Maisbrei und Milch.",,ZM_S_I_Sellow_Exk_07_08_r__2481,"wurde[,] woraus das Vieh nicht entkommen konnte. Dieses ganze Hochland bietet überall häufig die schönsten Gelegenheiten für dergleichen Absonderungen zur Versicherung des Viehs zu machen[,] welchen Vortheil man unten im Allgemeinen nicht genießt[.] Wäre das Campo hier nur reicher an Grasarten[,] die ~die allein~ feiner und besser, die tiefen Bäche nicht so häufig, die Ameisen nicht so zahlreich, die Wege in besserem Zustande[,] damit das Salz[,] ohne welches kein Vieh erhalten werden kann, wohlfeiler verkauft werden könnte. Mein Wirth setzte mir eine Schüssel Bohnen mit Speck und Kohl vor und Milch. An Tisch und Bänken fehlte es noch im Hause. 28 Aug[ust] Ich gelangte ~bei guter Zeit~ früh auf der Est[anci]a de S[anta] Barbara des Major Atanagildo an[,] circa 1 ½ L[egoa] von Silvestre. Auf diesem Wege sah ich die ersten Araucarien in dieser Gegend. Über einen Ort[,] der Porongos heißt[,] hinaus, wo ein Bauer wohnt[,] zeigt sich der Boden wieder etwas sandig. Unweit Atanagildo gibt es große Capaõs[,] wovon Theile schon in Capoeiras verwandelt. Im Campo selbst pflegt hier niemand zu pflanzen, noch weniger an dergleichen kleine Wälder mitten im Campo zu denken. Es stehen hier einige mit Stroh gedeckte kl[eine] Häuser und mehrere Zwinger aus Holzwerk. Atanagildo kaufte diese Est[anci]a vor ungefähr einem Jahr um ~800~ Cru[zad]os[.] Sumarim besitzt hier noch niemand[,] nämlich die Titel dazu; es gilt bis jetzt das Recht[,] welches der erste Urbarmacher dazu hat, und so ist es in der ganzen Provinz der Missionen. Atanagildo war aus V[il]a de Castro hier her gezogen wie sein Bruder, der Alf[onso] Madrigues Telos Martins[,] welcher auch an der Straße 5 L[egoa] weiter hin wohnt. Die ganze Gegend wird überhaupt von Paulisten[,] besonders Curitibaner bewohnt, welche zum Theil früher Maulthierhändler (Troppeiros) waren und auf ihren Reisen Bekanntschaft mit der Gegend erlangten. Atanagildo gelangte in 1821"
"Atanagildo, Campos, Personen, Geographische Angaben, Giribapalmen Jerivá Syagrus romanzoffiana Cham, Antas, Campo   do meio, Paraná, Ethnien/Gruppen, Bugre, Archive von St  Paolo, Certão, Objekte, Pflanzen, Pinhãos Araucaria angustifolia, Rio de   Registo (Rio de Curitiba), Tiere, Facão, Rio de Pilotas (Uruguay), Ocotea Ocotea foetens, Garapuava",1826,,Atanagildo,Antas,"Campos, Certão, Facão, Archive von St  Paolo",Bugre,,"Campo   do meio, Paraná, Rio de   Registo (Rio de Curitiba), Rio de Pilotas (Uruguay), Garapuava","Pinhãos Araucaria angustifolia, Giribapalmen Jerivá Syagrus romanzoffiana Cham, Ocotea Ocotea foetens",,,,,,ZM_S_I_Sellow_Exk_07_08_v__2482,"quer durch den Certão von Garapuava in diese Gegend[,] im Campo do meio kam er heraus und berechnete den Weg auf 55 ¾ L[egoa]. Er selbst kehrte auf dem selben Wege zurück, schickte aber 7 Mann mit einem Bugre [,] welcher versprochen[,] nun auch kürzere und bessere Straßen zu zeigen und auf welcher man nur einen Fluß zu passiren hätte, in einer anderen Richtung zurück, von denen man aber nie wieder etwas erfuhr, und es scheint[,] daß alle sieben umgekommen. Atanagildo ließ sich auf keine umständliche Erzählung seiner Reise ein[,] sondern behauptete[,] das Meiste schon vergessen zu haben, was er darüber aufgeschrieben[,] wollte er auch schon verloren haben, indessen soll in dem Archive v[on] St Paolo eine Ausarbeitung darüber untergelegt worden sein[.] Der Weg war zu Pferde gemacht worden; meistens durch Campos[.] Nur am Rio de Pilotas (Uruguay) und am Rio de Registo (Rio de Curitiba)[,] welche sich in den Paraná ergießen sollen[,] fand er Waldung[,] durch welche er mit dem Facão in der Hand Weg bahnen mußte. Es kann übrigens nicht schwer sein[,] dergleichen Reisen in diesen Gegenden zu machen, wenn man die Zeit wählt[,] wo die Pinhãos reif sind, dann findet man gewöhnlich in den Pinhãos auch viel Wild[,] zumal Antas , Giribapalmen sind ebenfalls häufig[,] deren Sprossen sehr nährend und wohlschmeckend sind; von diesen Bäumen sollen die Wilden dieser Gegenden sogar das Zellengewebe des Stocks kauen, welches nicht des Wohlgeschmacks wegen, wie die Blätter einer Ocotea [,] welche sie noch zu kauen pflegen, sondern um der Nahrung willen sein muß; mithin scheint es mir nöthig, reichlich Pulver und Schrot[,] etwas Mehlsubstanz, Schokolate, Taschenbullion allenfalls und dergleichen mitzunehmen. Atanagildo rechnete aber diesen Dienst[,] den er dem Staate geleistet[,] für sehr groß an und verschwendet viel Zeit mit Klagen[,]"
"Arroba, Maßeinheiten, Herva, Jiriba Stamm, Atanagildo, Butucaray, Personen, Geographische Angaben, Sorrãos, Algodoal algodeiro  Baumwollstaude, Landwirtschaft und Handwerk, Cariyas, Objekte, Quirera do Milho, Cerro de Butucaray, Uruguay",1826,,"Atanagildo, Sorrãos, Cerro de Butucaray, Uruguay",,"Cariyas, Quirera do Milho",,,"Herva, Butucaray",,,,Arroba,"Jiriba Stamm, Algodoal algodeiro  Baumwollstaude, Herva",,ZM_S_I_Sellow_Exk_07_09_r__2483,"daß er von der Regierung nicht reichlich belohnt worden wäre, uneingedenk seines schwerlich verdienten Majorranges pc. Er war seit 6 Monaten im Besitz dieser Est[anci]a, hatte aber auch nicht Zeit gehabt[,] den Boden vor der Hausthür etwas auffüllen zu lassen, man mußte auf einem hingeworfenen Jiriba Stamm dort über diesen Koth balancieren, wenn man nicht durchwaden wollte, was freilich nicht immer gelang. Im Zimmer lagen circa 800 Arroba Herva in Sorrãos aufgeschichtet[,] welche er in der Hoffnung aufgekauft[,] trotz des Krieges Erlaubnis zu erhalten[,] sie in das Spanische ausführen zu dürfen. Er behauptete[,] daß im District 20 bis 30 Tausend Arroba Herva jährlich bereitet würde. Säcke aus Ochsenhaut scheinen nothwendig, indem die Herva sich umso besser hält[,] als die Luft daran ausgeschlossen bleibt; starke Kisten würden wahrscheinlich ebenso gut sein, zumal wenn man vermittelst Schrauben die Verpackung verrichtete. Die Herva vom Butucaray kam darum in schlechten Ruf[,] weil man sie dort oft viele Wochen lang auf den Cariyas ließ und sie nicht rasch hinter einander trocknete. Auch hier hällt man dafür[,] daß auf das Rösten (Sapecaçao) das Meiste ankommt. Eine Ochsenhaut kann gewöhnlich 10 Arroba Herva in sich fassen, eine Kuhhaut 6. Atanag[ildo] hatte hier einmal kleinen Algodoal vorgefunden und daran sehr schöne Baumwolle geärndtet. Um so lieber nahm ich seine Einladung[,] bei ihm zu bleiben[,] an, als kalter S[üd] Wind wähte und mitunter Regengestöber fiel. Unter anderem bewirthete er mich mit Quirera do Milho[,] Theilen des Maises[,] welche bei Bereitung des Mehls sich nicht zermalmen[,] sondern als kleine Körner beim Sieben zurückbleiben, welche beinahe wie Graupen schmeckt."
"Gesteine/Minerale, Atanagildo, Personen, Geographische Angaben, söhlig, Lehmen, Landwirtschaft und Handwerk, Arroyo   dos Irmãos pequeno, Cruz alta, Basalt, Maßeinheiten, St Barbara, Hervas, Arroyo dos dois Irmãos, schiefrig, Jacuy, Uruguay, Santa Barbara, thoniger, Pflanzen, Pinheiros, ärmer an Sand, Lachter",1826,,"Arroyo   dos Irmãos pequeno, Atanagildo, Arroyo dos dois Irmãos",,,,,"Cruz alta, Jacuy, Uruguay, Santa Barbara, St Barbara",Pinheiros,"Basalt, söhlig, Lehmen, thoniger, ärmer an Sand, schiefrig",,Lachter,Hervas,,ZM_S_I_Sellow_Exk_07_09_v__2484,"29. Augt Verfolgt man die Grate[,] auf welchen der Weg hinläuft von dieser Est[anci]a da S[an]ta Barbara aus[,] so fällt z[ur] R[echten] ein großer Zug Wald ins Auge[,] welcher sich von S. nach N. ausdehnt und einen Hügelrücken einnimmt[,] welcher[,] wie es scheint[,] mit denen[,] worauf der Weg hingeht[,] gleiches Niveau hat; Berge sieht man nirgends. Er mag von S[an]ta Barbara 1 ½ 2 L[egoa] entfernt liegen. Ein L[egoa] von Atanagildo lenkte ich rechts ab, eine Straße[,] welche nach den großen Hervas des Uruguay führt und hier zuerst h. 9 NW weiter läuft. Dergleichen Punkte pflegt man hier vorzugsweise zu Begräbnißplätzen zu wählen; man hegt ein Stück Land mit Pfählen ein und pflanzt ein Kreuz in die Mitte. Eine Est[anci]a blieb im Thal z[ur] R[echten] mit einigen mit Stroh gedeckten Häusern. Die meisten Abzüge[,] welche sich rechts oder links hinabsenken[,] haben ihren Ursprung in kleinen Bächen, welche sich im Grunde bald kesselförmiger bald verschiedenartig geformter oder gewundener Vertiefungen ansetzen[.] Der Boden ist mitunter etwas mit Sand gemengt und im Ganzen ist das Campo dem bei Cruz alta gleich. Tiefe Bäche kommen häufig vor und in der Nacht könnte man diesen Weg nicht ohne Gefahr zurücklegen. Nach 2 ¼ L[egoa] von St Barbara erreicht man den Ar[roy]o dos dois Irmãos , welcher seinen Lauf westl[ich] an jenem Walde hinab nimmt bis er sich mit dem Jacuy vereinigt. Er rieselt über Basalt[,] welcher fast söhlig liegt und sich unvollk[ommen] schiefrig absondert (1381/2). Dieser zeigt sich 1 Lachter hoch zu Tage[,] dann folgt 1 Lachter hoch kuglich abgesonderter mit konzentrischen Schalen und ferner rothbrauner Lehmen. Hier sahe ich auf dieser Reise die ersten wilden Pinheiros in Menge. Sie stehen nicht allein in den Capaõs auf den Höhen[,] sondern auch in den Thälern an den Bächen. 1/3 L[egoa] weiter kommt man durch den Ar[roy]o dos Irmãos peq[ue]no[,] welcher in ersteren geht und auch Basalt im Bette hat. Sobald man die Grate verläßt und auf etwas niedrigerem Niveau hingeht[,] erscheint der Boden stets thoniger, ärmer an Sand."
